,Country Name,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,平均值
87,Norway,9.044948643,7.22115079,10.86577829,14.77301108,17.95050886,17.11022976,18.63774605,10.24166959,10.92962744,13.35486341,13.76736516,10.67440864,8.629196126,6.024071988,4.055681007,4.995505832,7.863586482,6.583725365,-2.814098878,9.995209244
95,West Bank and Gaza,-10.42332873,-8.875776979,-14.64683911,31.50796155,17.25823961,125.1352834,13.648089,-19.25701749,-11.71079215,-12.51808159,-11.21500035,1.896171877,-5.306892941,-6.251878337,-4.235120456,-2.689101544,-1.883174956,-0.063961165,5.917056291,4.541359786
5,Azerbaijan,19.39308714,1.604626259,1.781438087,2.740818919,0.662965133,2.33710871,17.19381939,5.856568808,13.83124453,10.85964091,3.705480028,1.643475099,2.742339379,-4.812912606,-1.151858441,-1.327513761,5.495054715,8.944010151,-6.681554614,4.464096728
59,Kazakhstan,-0.24916097,3.996044417,3.287322271,6.077757962,7.652629268,5.13441638,1.227135084,-1.328048497,1.469692239,5.811036371,4.430881157,4.945692866,2.481848067,-6.259289827,-4.50321692,-4.265508564,2.579564209,-0.569542669,-7.036916264,1.309596662
62,"Korea, Rep.",3.34599568,1.563930596,0.089544783,0.992409195,1.232118289,2.596853404,1.647822514,0.249276862,1.675493826,1.794643487,1.703687764,0.826348703,0.600667081,0.521646175,1.645929215,2.188104777,2.563017186,0.371785246,-2.233081617,1.230325956
67,Luxembourg,2.031106313,0.276430576,-1.392367344,-0.211352956,1.904608632,4.354201978,3.367191874,-0.21305636,-0.25753077,0.650446491,0.503802159,0.840623695,1.331690844,1.303599397,1.889941129,1.366712052,2.986140333,2.299530653,-3.419898725,1.032201051
97,Russian Federation,0.672593623,1.350124439,4.57475069,7.596959645,7.803539032,5.585366969,4.5494902,-5.888910069,-3.193876296,1.431818865,0.382340787,-1.162177877,-1.069956332,-3.386423807,-3.670080744,-1.468925155,2.923323248,1.929614932,-3.998697497,0.787414455
29,Denmark,-0.015387103,-0.133147637,2.073171218,4.955097249,4.987100686,5.020456096,3.173907975,-2.798141618,-2.710215658,-2.055766184,-3.490444865,-1.235647209,1.144427647,-1.329580879,-0.105986833,1.786261491,0.760435181,4.131581965,0.214895521,0.756474581
115,Uzbekistan,-6.314540223,-4.871950383,-3.74113297,-3.521035255,2.722160671,3.554055237,5.970999651,1.818659929,2.561481844,5.109829284,5.885252278,2.1514224,1.898119725,-0.277268365,0.704305414,1.148478614,1.971623013,-0.326207051,-3.272525782,0.693248844
23,Cameroon,1.506626734,0.560200735,-0.455788725,3.029455591,28.21389827,3.873770577,2.000034814,-0.04070747,-0.932373992,-2.258001678,-1.395956958,-3.554624394,-4.087364833,-4.24571325,-5.881134409,-4.72473822,-2.407988286,-3.243734199,-3.188162803,0.14566829
104,Sweden,-1.409094128,-1.216326232,0.20203562,1.810967611,2.135076504,3.331196966,1.920959554,-0.836294624,-0.090077712,-0.3376159,-1.113439552,-1.462616061,-1.524570908,0.012299113,1.034783221,1.42271703,0.818361554,0.564339607,-2.790571392,0.13011212
20,Switzerland,-1.745749271,-1.358939967,-1.392950132,-0.646201581,0.846426614,1.575662252,1.934778226,0.498068787,0.354301316,0.683617276,0.235252682,-0.432456545,-0.247067183,0.545701586,0.238326704,1.130260692,1.290079648,1.341112643,-3.023544195,0.096141029
34,Estonia,0.401552301,1.79405438,2.393440123,1.124800873,2.889076515,2.739726169,-2.649016342,-2.191035858,0.189608645,1.085924658,-0.287117989,0.180611482,0.707407587,0.14381677,-0.412133447,-0.737670972,-0.553116149,0.12207711,-5.467563676,0.07760222
21,Chile,-1.170915563,-0.415512876,2.050497131,4.56692802,7.505662773,7.95616112,3.93347791,-4.264771608,-0.363065644,1.427593886,0.682452249,-0.470187986,-1.496350422,-2.088570777,-2.66164476,-2.629199437,-1.483643558,-2.727498643,-7.142610711,0.063621111
36,Finland,3.973438573,2.339389386,2.157371597,2.588546758,3.924301752,5.115142833,4.179857411,-2.483672358,-2.53371106,-1.019202214,-2.15980143,-2.524948488,-2.98747686,-2.425432268,-1.69825026,-0.653996226,-0.853243783,-0.945976369,-5.511225403,-0.079941495
