,Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
5,Albania,ALB,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.75690391,37.48106496,53.10782497,55.56570386,,,,,,,,,,,,,69.63767392,63.66915264,70.58076979,73.32022748,79.86441815,80.73558197,75.8887516,64.57032635,75.69848825,84.05861908,
9,Argentina,ARG,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Armenia,ARM,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.02842069,63.40121401,
13,Australia,AUS,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.22733428,11.91842828,14.14494589,17.87364796,20.18833272,21.68180681,21.81279872,20.86132929,16.8780761,31.08701809,29.54572913,27.71312895,25.89764481,25.08664572,22.87348602,22.41855024,21.45391349,20.10936483,18.18788571,23.87206137,28.67010169,30.09870961,39.45643711,37.57889695,41.74153961,46.50666387,54.69039021,53.28087795,54.48561435,60.24792807,69.41379793,
14,Austria,AUT,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.21289554,64.73978224,65.1858555,67.81187325,66.79101912,66.46179758,74.30583793,70.42261078,66.75668187,71.93825775,83.33165188,85.78626983,85.69650738,90.60038781,87.69659924,95.79962927,95.08426588,94.69463696,89.40540885,84.16445809,83.05386662,99.91308581,
15,Azerbaijan,AZE,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.576537975,6.295012401,6.385575792,,,,,,,,,,,
16,Burundi,BDI,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.79366488,103.9915799,117.6309794,117.0125899,128.9192191,144.0976815,134.2470828,151.2772114,162.5614405,,,,,,,,,,,,,,,,,,,,,,
17,Belgium,BEL,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.5765909,127.330165,124.1013347,126.0056648,115.1211711,109.6474721,108.9175914,108.3462015,102.1996084,98.09879706,96.75457719,89.37556635,83.47823149,91.30088439,95.9430278,93.2064544,95.57076435,104.0284993,101.564361,112.3090597,108.5913087,110.196201,103.8836279,101.3932567,103.3775233,119.4253561,
18,Benin,BEN,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Burkina Faso,BFA,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.57386105,46.63954473,72.5316089,
20,Bangladesh,BGD,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.46184316,31.86399152,31.20445211,,,,,,,,,,,,,,,,,,
21,Bulgaria,BGR,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.74663052,66.45590597,61.57245826,61.33398316,52.88148258,47.39991863,40.17672065,31.13794004,27.73789185,24.12291284,17.96763243,20.1600091,20.59186478,19.48216694,21.79540535,22.05705078,32.50065618,30.84131201,35.52837358,32.21695882,28.68591603,26.92355298,32.24333379,
24,Bosnia and Herzegovina,BIH,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.83469429,49.09026353,,,,52.8681138,48.01547363,45.56131214,44.63364867,46.04821751,
